ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,ARR_DELAY_MEAN,DEP_DELAY_MEAN,DAY_OF_WEEK,FLIGHT_ID
14685,"Savannah, GA",11298,"Dallas/Fort Worth, TX",-2.3333333333333335,-0.16666666666666666,2,29512
14685,"Savannah, GA",11298,"Dallas/Fort Worth, TX",-1.3333333333333333,-0.7777777777777778,5,29515
14685,"Savannah, GA",12264,"Washington, DC",1.75,-4.0,1,29525
14685,"Savannah, GA",12264,"Washington, DC",-10.333333333333334,-9.333333333333334,5,29528
14685,"Savannah, GA",12266,"Houston, TX",15.4,24.6,6,29534
14685,"Savannah, GA",12478,"New York, NY",2.2666666666666666,7.066666666666666,7,29542
14685,"Savannah, GA",13303,"Miami, FL",-4.625,-3.125,5,29554
14685,"Savannah, GA",13930,"Chicago, IL",33.0,31.375,1,29557
14685,"Savannah, GA",13930,"Chicago, IL",53.09090909090909,45.36363636363637,7,29563
14685,"Savannah, GA",14100,"Philadelphia, PA",-12.2,-6.4,2,29565
14689,"Santa Barbara, CA",11292,"Denver, CO",4.5,-5.3,5,29575
14689,"Santa Barbara, CA",11298,"Dallas/Fort Worth, TX",-9.2,2.8,3,29580
14689,"Santa Barbara, CA",14107,"Phoenix, AZ",-7.8,-5.15,4,29595
14689,"Santa Barbara, CA",14747,"Seattle, WA",-23.6,-10.2,3,29601
14689,"Santa Barbara, CA",14747,"Seattle, WA",-20.2,-9.6,4,29602
14689,"Santa Barbara, CA",14771,"San Francisco, CA",16.655172413793103,17.79310344827586,3,29608
14689,"Santa Barbara, CA",14771,"San Francisco, CA",61.666666666666664,63.233333333333334,4,29609
14696,"South Bend, IN",11057,"Charlotte, NC",80.625,98.0,5,29626
14696,"South Bend, IN",11057,"Charlotte, NC",105.125,126.125,6,29627
14696,"South Bend, IN",11298,"Dallas/Fort Worth, TX",-4.875,29.625,5,29633
14696,"South Bend, IN",13487,"Minneapolis, MN",33.6,64.4,4,29649
14698,"San Luis Obispo, CA",11292,"Denver, CO",-17.375,-0.75,7,29677
14698,"San Luis Obispo, CA",12892,"Los Angeles, CA",13.125,7.375,1,29678
14698,"San Luis Obispo, CA",12892,"Los Angeles, CA",41.68421052631579,43.63157894736842,4,29681
14698,"San Luis Obispo, CA",14107,"Phoenix, AZ",1.1875,-1.0,2,29686
14709,"Deadhorse, AK",10299,"Anchorage, AK",-17.25,-12.25,1,29705
14709,"Deadhorse, AK",10299,"Anchorage, AK",-16.0,-9.4,2,29706
14709,"Deadhorse, AK",10299,"Anchorage, AK",-18.2,-8.6,4,29708
14709,"Deadhorse, AK",10754,"Barrow, AK",-12.3,-11.3,2,29711
14709,"Deadhorse, AK",10754,"Barrow, AK",-19.1,-19.0,3,29712
14711,"State College, PA",11433,"Detroit, MI",-10.3,-3.5,2,29718
14716,"Stockton, CA",12889,"Las Vegas, NV",26.4,30.8,3,29735
