index,day,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,c_minus_t_raw,c_minus_t_adj
155,2016-05-11,43.9,37.7,43.50716,39.11189,6.199999999999996,4.3952699999999965
156,2016-05-12,42.9,38.6,42.54914,40.02052,4.299999999999997,2.5286200000000036
157,2016-05-13,43.3,38.3,42.9893,39.72064,5.0,3.268659999999997
158,2016-05-14,42.9,37.0,42.63124,38.42083,5.899999999999999,4.210409999999996
159,2016-05-15,42.2,37.3,41.96929,38.71925,4.900000000000006,3.2500399999999985
160,2016-05-16,41.7,37.9,41.51003,39.30696,3.8000000000000043,2.203070000000004
161,2016-05-17,42.8,36.8,42.65186,38.19473,6.0,4.457129999999999
162,2016-05-18,42.6,36.6,42.48125,38.00478,6.0,4.476470000000006
163,2016-05-19,41.8,37.7,41.72217,39.09983,4.099999999999994,2.6223400000000012
164,2016-05-20,42.3,37.2,42.26061,38.59251,5.099999999999994,3.6681000000000026
165,2016-05-21,43.8,37.3,43.7777,38.71445,6.5,5.063250000000004
166,2016-05-22,42.1,38.5,42.09553,39.93351,3.6000000000000014,2.1620199999999983
167,2016-05-23,43.2,37.3,43.21848,38.7386,5.900000000000006,4.479880000000001
168,2016-05-24,44.4,35.9,44.43873,37.34936,8.5,7.089370000000002
169,2016-05-25,45.8,35.5,45.86052,36.96459,10.299999999999997,8.89593
170,2016-05-26,46.1,35.4,46.17604,36.88164,10.700000000000003,9.294400000000003
171,2016-05-27,46.0,34.8,46.09309,36.29812,11.200000000000003,9.79497
172,2016-05-28,45.9,35.8,46.0058,37.31475,10.100000000000001,8.691050000000004
173,2016-05-29,46.9,35.2,47.01871,36.73346,11.699999999999996,10.285249999999998
174,2016-05-30,46.5,34.8,46.63066,36.35176,11.700000000000003,10.2789
175,2016-05-31,46.7,33.7,46.84405,35.26876,13.0,11.575290000000003
176,2016-06-01,47.5,33.7,47.65613,35.28489,13.799999999999997,12.37124
177,2016-06-02,46.1,34.0,46.27494,35.59482,12.100000000000001,10.680120000000002
178,2016-06-03,42.0,33.0,44.58181,37.00569,9.0,7.576119999999996
179,2016-06-04,41.8,30.8,44.39024,34.81818,10.999999999999996,9.57206
180,2016-06-05,43.9,29.0,46.49813,33.03089,14.899999999999999,13.467240000000004
181,2016-06-06,44.0,29.9,46.60658,33.94169,14.100000000000001,12.66489
182,2016-06-07,43.0,30.4,45.61335,34.45631,12.600000000000001,11.157039999999995
183,2016-06-08,43.0,28.8,45.61828,32.86663,14.2,12.751649999999998
184,2016-06-09,42.4,28.9,45.02784,32.97919,13.5,12.048649999999995
185,2016-06-10,45.517932936197276,33.180958704216366,48.27843267172956,37.19097114619543,12.336974231980909,11.087461525534131
186,2016-06-11,45.583305056911804,33.07920252432502,48.348641670179,37.099025992280325,12.504102532586781,11.249615677898674
187,2016-06-12,46.53594468870557,32.85590697645938,49.30549705186348,36.88538480387279,13.680037712246198,12.42011224799069
188,2016-06-13,45.800457029264834,33.96885402772459,48.57742937388256,38.000881591701024,11.831603001540252,10.576547782181533
189,2016-06-14,45.9,31.9,48.58012,36.04625,14.0,12.53387
190,2016-06-15,44.16803476768022,34.75953643093039,46.385336739613145,38.744064105918596,9.408498336749831,7.6412726336945465
191,2016-06-16,45.17997682688339,34.5838569735245,47.40487921585827,38.5713139707187,10.596119853358896,8.833565245139576
192,2016-06-17,44.678805545982044,35.24641900621304,46.91917749803147,39.232012961990016,9.432386539769002,7.687164536041454
193,2016-06-18,44.96536222366963,35.35320561844595,47.219298268877054,39.336413875495374,9.612156605223676,7.882884393381679
194,2016-06-19,44.45381383358342,34.67420410288497,46.713634011855824,38.656765898865864,9.779609730698441,8.056868112989966
195,2016-06-20,46.67515151069954,35.386776847362384,48.73480604315161,39.11577132883011,11.288374663337155,9.619034714321508
196,2016-06-21,45.735243824646396,35.72206343040926,47.7910581118451,39.442451177805374,10.013180394237143,8.348606934039728
197,2016-06-22,45.80781737366281,35.68210197094912,47.86213063522603,39.400057039742336,10.125715402713691,8.4620735954837
198,2016-06-23,45.9344681803699,35.341057919512394,47.99053595584347,39.056187465401415,10.593410260857508,8.934348490442044
199,2016-06-24,44.7,33.3,47.48173,37.43836,11.400000000000006,10.043369999999996
200,2016-06-25,44.5,33.0,47.29305,37.13445,11.5,10.1586
201,2016-06-26,41.905651827513964,33.9622672044593,44.73430502098317,38.225607992851565,7.943384623054661,6.508697028131608
202,2016-06-27,41.362719008443456,34.57041472573756,44.19813631159743,38.82751997788654,6.792304282705897,5.370616333710894
203,2016-06-28,41.63346994592885,34.677534292335245,44.47632933591151,38.93205808509871,6.955935653593606,5.544271250812805
204,2016-06-29,41.47350624169097,35.00000000000001,44.32544099139189,39.25250639081815,6.473506241690971,5.072934600573751
205,2016-06-30,44.1,34.5,46.96316,38.61547,9.600000000000001,8.34769
206,2016-07-01,44.3,33.1,47.18155,37.21085,11.199999999999996,9.9707
207,2016-07-02,43.3,34.7,46.20069,38.80982,8.599999999999994,7.39087
208,2016-07-03,44.8,34.2,47.71629,38.30355,10.599999999999994,9.41274
209,2016-07-04,44.4,34.7,47.33111,38.80427,9.699999999999996,8.52684
210,2016-07-05,44.0,34.8,46.94283,38.90897,9.200000000000003,8.033860000000004
211,2016-07-06,44.3,35.1,47.25977,39.20079,9.199999999999996,8.058980000000005
212,2016-07-07,45.4,32.8,48.38591,36.89044,12.600000000000001,11.495470000000005
213,2016-07-08,44.1,32.4,47.09819,36.48154,11.700000000000003,10.61665
214,2016-07-09,45.1,31.2,48.09578,35.26984,13.900000000000002,12.825939999999996
215,2016-07-10,44.7,30.8,47.68214,34.8558,13.900000000000002,12.826339999999995
216,2016-07-11,44.335520113924794,34.59026984695545,46.6151212308976,38.21551424709283,9.74525026696934,8.399606983804777
217,2016-07-12,43.95805655970499,37.58497211183924,46.45202967938093,40.95433286144056,6.37308444786575,5.497696817940371
218,2016-07-13,44.00027367191566,37.582480825917706,46.48855270492659,40.94178502844334,6.417792845997948,5.546767676483259
219,2016-07-14,43.633005931481776,39.021216540967075,45.98035319052034,42.43795748965619,4.611789390514697,3.5423957008641427
220,2016-07-15,43.39094541454503,39.59765019604388,46.016037628703565,43.11274845497785,3.7932952185011524,2.903289173725727
221,2016-07-16,42.8580410894214,39.84970269263548,45.540690682202175,43.288605053759994,3.0083383967859145,2.2520856284421833
222,2016-07-17,40.0,35.9,43.31456,39.36701,4.100000000000001,3.9475499999999997
223,2016-07-18,37.0,39.8,40.60118,42.92866,-2.799999999999997,-2.3274800000000013
224,2016-07-19,37.9,38.7,41.79591,41.46989,-0.8000000000000043,0.32601999999999975
225,2016-07-20,38.8,37.5,42.97568,39.94062,1.2999999999999972,3.0350599999999943
226,2016-07-21,38.0,38.2,42.28299,40.48766,-0.20000000000000284,1.7953299999999999
227,2016-07-22,37.6,38.4,41.87368,40.65538,-0.7999999999999972,1.2182999999999993
228,2016-07-23,39.0,36.9,43.03279,39.35464,2.1000000000000014,3.678149999999995
229,2016-07-24,38.4,36.8,42.06986,39.56847,1.6000000000000014,2.5013900000000007
230,2016-07-25,38.3,36.1,41.538,39.22968,2.1999999999999957,2.308319999999995
231,2016-07-26,40.7,34.7,43.49287,38.25547,6.0,5.237400000000001
232,2016-07-27,42.8,34.0,45.15793,37.96984,8.799999999999997,7.1880900000000025
233,2016-07-28,42.1,34.2,44.20405,38.39548,7.899999999999999,5.808570000000003
234,2016-07-29,44.44788002729645,38.39644391675534,46.191094555955345,42.414393584449215,6.051436110541116,3.7767009715061257
235,2016-07-30,43.86052531292948,39.249520710578665,45.53470855831986,43.30406056334759,4.611004602350816,2.2306479949722786
236,2016-07-31,40.0,38.0,41.71976,42.50884,2.0,-0.7890799999999984
237,2016-08-01,43.32800395798261,38.17678203238345,44.265144954885315,42.28438856460563,5.151221925599154,1.9807563902796803
238,2016-08-02,44.14043511493824,37.44587617900325,45.06919323260971,41.57064774060823,6.694558935934995,3.4985454920014885
239,2016-08-03,43.95661754610205,36.293566083926876,44.881258048406906,40.42280404991521,7.663051462175171,4.4584539984916995
